country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Namibia,2.6000000000000014,0.8791208791208794,0.752281630324949,0.24688917476439876,0.857793857453089,1.0,1.0,1.0,1.0,0.9246429316203331,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7546494765380769,0.2407506824349494,0.8643350318478793,1.0,1.0,1.0,1.0,1.0,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7555022756533549,0.2534777206480393,0.8526274170345027,1.0,1.0,1.0,1.0,1.0,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7582019282366247,0.3203700194636949,0.8568255898298488,1.0,1.0,1.0,1.0,0.5525637800998207,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7589268429296596,0.3367692749268686,0.736255505611606,1.0,1.0,1.0,1.0,1.0,0.2806129332134745
Namibia,2.6000000000000014,0.8791208791208794,0.7591877880899827,0.24308169879851038,0.9127388388963038,1.0,1.0,1.0,1.0,0.8230565378753488,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7593696399857509,0.29570024271314344,0.9090279361561949,1.0,1.0,1.0,1.0,0.45689802940191704,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7600912996923537,0.18089069105734057,1.0,1.0,1.0,1.0,0.9254284135706954,0.9176676377855608,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7606982503848662,0.3723406364230858,0.8437576848086443,1.0,1.0,1.0,0.9621655067350987,0.3798470843620312,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7616530660026295,0.12409610429950788,1.0,1.0,1.0,1.0,1.0,1.0,0.41291845466497423
Namibia,2.6000000000000014,0.8791208791208794,0.7616788034359482,0.1254759046441431,1.0,1.0,1.0,1.0,1.0,1.0,0.39770048953900655
Namibia,2.6000000000000014,0.8791208791208794,0.762157878172008,0.20621970329237255,1.0,1.0,1.0,1.0,1.0,0.6599740416432722,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7628315010525919,0.16339880513310034,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7642891430588187,0.2580508228534449,1.0,1.0,1.0,1.0,1.0,0.33400646397213984,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7646398813733603,0.345936905767178,0.863953189607287,1.0,1.0,1.0,1.0,0.5053644049094133,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7669111421044539,0.23251859625868143,1.0,1.0,1.0,1.0,1.0,0.6012545570788206,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7679702043887151,0.23470629391504982,1.0,1.0,1.0,0.9464982711404379,1.0,0.760969098526263,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.768174303066414,0.43378207641346256,0.7504381101371148,1.0,1.0,1.0,0.7870115478320308,1.0,0.0
Namibia,2.6000000000000014,0.8791208791208794,0.7687357540820288,0.1442029785866964,0.9847810377170064,1.0,1.0,1.0,1.0,0.8626235263048774,0.8645771238372107
Namibia,2.6000000000000014,0.8791208791208794,0.7694416000729829,0.1890596747738722,1.0,1.0,1.0,1.0,1.0,1.0,0.0
