country,R0,dose,Reff,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Afghanistan,2.399999999999996,0.2,2.2599826139655086,0.005272022812186972,0.0,0.01785972659923322,0.48111322447869304,0.9812140386910657,1.0,0.6353552984365942,0.0
Afghanistan,2.399999999999996,0.2,2.260627541799297,0.0003930074870112171,0.0,0.0,0.7213411832808188,0.8754363360777502,0.8808264915982822,0.2225580327437006,0.10183544330599004
Afghanistan,2.399999999999996,0.2,2.2607182409368174,0.0064196421514348635,0.0,0.014473784583826345,0.4336440899663804,1.0,1.0,0.7354504858123211,0.11056216531766146
Afghanistan,2.399999999999996,0.2,2.261089617871491,0.013951614638581711,0.0,0.0,0.7294593957425729,0.7485787931072981,1.0,0.23415402064732338,0.028863282133754383
Afghanistan,2.399999999999996,0.2,2.261160410833888,0.009173573667718985,0.0,0.0,0.6182967085005888,1.0,0.9737524908231417,0.0,0.21288553155510356
Afghanistan,2.399999999999996,0.2,2.2614080498815183,0.019477731441640063,0.0,0.0,0.6778741564135364,0.8879873352981678,1.0,0.0,0.041020265896328664
Afghanistan,2.399999999999996,0.2,2.2614228731961394,0.020232732033387536,0.0,0.0,0.5632593928821628,0.94255038813884,1.0,0.34088883088231703,0.022570514294754963
Afghanistan,2.399999999999996,0.2,2.2615196021395962,0.00329600976783179,0.0,0.0,0.9448439032001787,0.5171665146581439,0.8668841353640123,0.3184378855836425,0.0
Afghanistan,2.399999999999996,0.2,2.2615226132624304,0.009187122337030465,0.0,0.02302035813461145,0.4978681216248563,0.9489193780459717,0.9116625753496753,0.7323407247997185,0.0
Afghanistan,2.399999999999996,0.2,2.261588664103624,0.009582538699235362,0.0,0.0,0.5950876941234028,0.9511785075333951,0.8736139071727933,0.48475112160917777,0.07141191560669277
Afghanistan,2.399999999999996,0.2,2.2616387025122986,0.010038789489041335,0.0,0.005036620305485964,0.4031670686783479,0.9746484149929031,1.0,0.9096246249892167,0.20505608652780857
Afghanistan,2.399999999999996,0.2,2.261778903946945,0.0025997637477547897,0.0,0.0,0.659422130490274,0.9942678790057315,0.8875201578272244,0.0,0.3187511108067186
Afghanistan,2.399999999999996,0.2,2.2618666770242073,0.013336327251152994,0.006098715781057404,0.0,0.5220555724847931,1.0,0.9758306324594201,0.36344716569322333,0.11430237851124553
Afghanistan,2.399999999999996,0.2,2.2623653461109403,0.008864000590441555,0.0,0.0,0.9224180689381057,0.38684713807413434,0.9098865430733534,0.6465851753825188,0.0
