iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
AFG,Afghanistan,2020,2765100,2641590,2540450,2251500,1909210,1498590,1179140,988220,790700,627510,503170,396460,307560,229220,172200,91110,42490,14280,3140,410,30,18952080
ALB,Albania,2020,79710,79820,75220,93380,110980,115010,101290,76190,76610,90250,95680,103250,95300,73950,55690,45110,28150,12890,4040,530,40,1413090
DZA,Algeria,2020,2467460,2269340,1872110,1425860,1468810,1761870,1850200,1764740,1502810,1220500,1035140,870270,684040,560160,364220,272080,185840,90060,26900,4390,450,21697250
AGO,Angola,2020,2871490,2535920,2182670,1780690,1458330,1231080,1041430,850120,684930,561290,410850,344800,252680,158690,117390,69350,37900,12650,2800,320,30,16605410
ATG,Antigua and Barbuda,2020,3630,3560,3370,3490,3750,3670,3690,3720,3710,3770,3640,3250,2490,1810,1340,860,510,290,100,20,0,50670
ARG,Argentina,2020,1833230,1820690,1766040,1739690,1714600,1745040,1660240,1572140,1571750,1359570,1198260,1119820,1006670,899260,758350,577680,406460,251280,114060,28420,3420,23146670
ARM,Armenia,2020,97100,100230,92570,79250,83570,121180,140970,128450,103850,89220,92850,114140,112890,76730,50550,26460,38220,13990,6110,1010,180,1569520
ABW,Aruba,2020,2970,2790,3350,3560,3760,3610,2680,3130,3710,4050,4400,4900,4200,3360,2410,1550,1030,480,150,30,0,56120
AUS,Australia,2020,812210,798240,784730,742430,783350,871180,935880,921290,818340,845810,789390,782010,724810,630850,555790,397190,281670,192290,100290,30080,3420,12801250
AUT,Austria,2020,217800,206020,205040,218870,245500,294550,304550,308420,281250,307280,356190,346720,297690,237000,219950,214620,153110,90260,47470,13470,950,4566710
AZE,Azerbaijan,2020,389500,400290,323990,295830,341160,439130,475650,413280,336550,320490,331250,344760,265920,168980,87420,54220,55650,23040,6240,1050,90,5074490
BHS,Bahamas,2020,13170,12940,15630,16320,16780,16510,14170,14370,14340,15160,13430,12520,9630,6490,4480,3260,1890,790,240,40,0,202160
BHR,Bahrain,2020,53450,51580,46820,40360,38870,68560,73240,54220,47010,35000,29190,24930,17460,8940,4820,3450,2170,750,270,40,10,601140
BGD,Bangladesh,2020,7007990,7167470,7381840,7609850,7496760,7268120,6984130,6477370,5671770,4707600,4040070,3221410,2128530,1306840,1150260,883530,533690,265970,98950,24320,3820,81430290
BRB,Barbados,2020,7430,7620,8620,9220,9230,9400,9090,9750,9580,10520,10240,10850,10000,8090,6410,4690,3510,2250,1250,430,110,148290
BLR,Belarus,2020,270720,288780,236340,215640,206860,318600,397200,355590,331660,331210,316840,410040,380270,352620,170430,181070,164770,80680,34740,5530,360,5049950
BEL,Belgium,2020,307310,323490,325880,311550,319940,356230,370930,379180,370090,374380,390270,396930,370680,327440,295440,212380,188560,138300,66630,18120,1590,5845320
BLZ,Belize,2020,19460,19080,18650,19810,19730,18380,16460,14370,11980,10810,8900,7150,5270,3630,2430,1610,1140,670,300,40,0,199870
BEN,Benin,2020,939810,832230,733770,637600,552570,470970,393480,328390,273660,226730,187140,150210,115770,86380,64580,43470,21490,8180,2150,360,30,6068970
BTN,Bhutan,2020,31390,30500,32640,34130,34720,35390,34550,28600,22350,17920,15490,12090,10140,7120,5600,4200,2560,1350,570,180,50,361540
BOL,Bolivia,2020,579540,576760,568240,557070,524090,481350,432520,383100,334570,287250,243090,204980,172470,144890,118350,89560,59750,35050,16230,5120,1040,5815020
