country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.599999999999995,0.8791208791208784,0.5320453216846951,0.0,0.0,0.0,0.33960314213575143,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5321681035246167,0.0,0.0,0.0,0.34037542939263427,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5331170073769931,0.0,0.0,0.0,0.34634395335078166,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5332921788056754,0.0,0.0,0.0,0.3474457666338183,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5341229307760509,0.0,0.0,0.0,0.35267112537385015,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5357656863946841,0.0,0.0,0.05931586014555845,0.4326310052227481,0.8754581456351948,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5367449489094746,0.0,0.0,0.0,0.36916339485810123,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5367581287518987,0.0,0.0,0.016005430505245943,0.7631346592543524,0.5701921892135583,1.0,0.9986122061706599,1.0
China,2.599999999999995,0.8791208791208784,0.5377447482528679,0.0,0.0,0.0,0.7958512694984339,0.5548593403862127,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5393911911397703,0.005798404529060799,0.0,0.0,0.38148343251504907,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5396576524613215,0.0,0.0,0.0,0.4788710023238466,0.9032347213171719,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5396715174984925,0.0,0.0,0.0,0.38757126062339514,1.0,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5446438236615834,0.0,0.0,0.0,0.4715157716567047,1.0,1.0,0.9205328409285911,1.0
China,2.599999999999995,0.8791208791208784,0.5449795692185493,0.0,0.0,0.0,0.4451763728855862,1.0,1.0,0.9634600118806738,1.0
China,2.599999999999995,0.8791208791208784,0.547287431224353,0.0,0.018502688097743858,0.0,0.8131510532355353,0.5858324830612747,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5474165731685687,0.0,0.0,0.0,0.44408872676654454,0.9917391213889373,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5478386294025919,0.0,0.0,0.0,1.0,0.4059221552633665,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5483505840835534,0.004825639181357255,0.15350539975854607,0.0,0.6344113295914555,0.6742851122328262,1.0,1.0,1.0
China,2.599999999999995,0.8791208791208784,0.5487614717117134,0.0,0.0,0.0,0.44484263159021276,1.0,1.0,1.0,0.9997753092044253
China,2.599999999999995,0.8791208791208784,0.55220778008982,0.11627420142467065,0.024810369821777645,0.0,0.36886053070505587,1.0,1.0,1.0,0.9831577046953731
