country,R0,dose,Reff,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.6,0.2,2.359940807,0.00552876,0,0,0.035980647,0.040142674,0.091077306,1,1
China,2.6,0.2,2.361522219,0.047249415,0,0,0.017752279,0,0.116849171,1,1
China,2.6,0.2,2.362028624,0.026193151,0,0,0,0.029178554,0.151463825,1,0.935371764
China,2.6,0.2,2.362416766,0.02689814,0,0,0,0.057818963,0.131115526,0.946397427,1
China,2.6,0.2,2.363672147,0.039410806,0.000151083,0.050023367,0,0,0.09935572,1,1
China,2.6,0.2,2.363798868,0.013199306,0,0,0.156603946,0,0,1,1
China,2.6,0.2,2.364176566,0.018284782,0,0.062531085,0.039114003,0,0.064990155,1,1
China,2.6,0.2,2.364344282,0.069391894,0.005147552,2.11E-05,0,0,0.139725817,0.974945023,0.981030114
China,2.6,0.2,2.365038234,0.016070766,0.041951283,0,0,0,0.20373291,0.903332954,0.977074586
China,2.6,0.2,2.365222027,0.009587253,0,0,0.114065321,0,0.125656676,0.884161325,1
China,2.6,0.2,2.365910775,0.081906326,0,0.029942276,0.005167961,0,0.078237962,1,1
China,2.6,0.2,2.365938288,0.010071379,0,0.013425577,0,0.162397344,0.041771544,0.951416612,0.968150808
China,2.6,0.2,2.366135957,0.002510463,0,0,0,0.211250889,0,1,0.918523915
China,2.6,0.2,2.366919812,0.112455623,0,0,0,0,0.103943131,0.972315185,1
China,2.6,0.2,2.367034491,0.002434481,0,0,0.025260905,0.021688139,0.273585324,0.858602779,0.876299946
China,2.6,0.2,2.367145497,0.006815523,0,0,0.050011051,0,0.255632699,0.873482783,0.876379788
China,2.6,0.2,2.367618988,0.011376158,0,0.114507946,0.009216086,0,0.081985268,0.991849611,0.957776067
China,2.6,0.2,2.367931995,0.061509592,0,0,0.012409447,0,0.186304989,1,0.830365495
China,2.6,0.2,2.368237019,0.026807852,0,0.111046271,0,0,0.088014041,0.969231602,0.980270443
China,2.6,0.2,2.368317532,0.00471204,0,0,0.075967078,0.116279498,0.085844703,0.839762947,1
China,2.6,0.2,2.36837534,0.014205644,0,0.123643707,0,0.059097736,0,1,1
China,2.6,0.2,2.368738377,0.02033171,0,0,0,0.19757649,0.060292483,0.858395678,1
China,2.6,0.2,2.368827922,0.010033073,0.018880721,0.075308637,0,0,0.171591919,0.918660559,0.933731949
China,2.6,0.2,2.368833164,0.017544053,0,0,0.141415892,0,0.130243449,0.837590486,0.983971323
China,2.6,0.2,2.369143694,0.050905022,0,0,0.158845367,0,0.022193658,0.921674394,1
China,2.6,0.2,2.36917291,0.087139713,0.031896192,0,0.041276947,0.039132717,0,1,1
China,2.6,0.2,2.369292067,0.007414111,0.114223797,0,0.023583496,0,0.098088207,0.960599518,0.965122427
China,2.6,0.2,2.369435096,0.025543204,0.084929449,0.011059525,0,0.076484332,0.017028115,1,0.97165696
China,2.6,0.2,2.369509426,0.101144895,0,0.024979647,0.070800779,0,0,1,1
China,2.6,0.2,2.369523757,0.124483515,0,0,0.017164478,0.010571623,0.083732096,0.948978853,0.997601805
China,2.6,0.2,2.369609276,0.056766208,0,0,0.056986857,0.075948028,0.082773638,0.871792608,1
