iso3c,countryname,year,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,total
GLP,Guadeloupe,2020,11637,11225,14801,15101,14206,9718,7115,6762,8747,11923,13736,14338,12435,10453,8801,5717,4018,2286,1117,341,79,184556
GUM,Guam,2020,6954,6898,6833,7126,7238,6770,5895,5083,4890,5176,5271,5105,3943,3124,2319,1262,802,346,92,12,1,85140
GTM,Guatemala,2020,1055310,1012605,983641,991664,913169,806637,666771,567574,447097,338571,260433,207966,174242,146550,98600,72040,48522,25378,8627,1567,145,8827109
GIN,Guinea,2020,1057293,938907,850299,763316,659751,530336,398448,291650,215946,165710,135641,111417,88173,67003,39424,25135,11204,3090,459,31,1,6353234
GNB,Guinea Bissau,2020,153942,139575,121860,103641,89633,78806,66994,55196,41751,32576,23975,18638,14277,10956,5957,3291,1245,338,42,2,0,962695
GUY,Guyana,2020,37908,37964,35865,37714,40358,34806,22081,24489,22595,22402,21528,17928,14961,9472,7239,3478,3066,892,471,276,56,395549
HTI,Haiti,2020,643767,629566,609977,575774,528825,482935,444936,403546,302438,227015,202596,173422,139622,107363,66963,47971,25550,10402,3046,641,90,5626445
HND,Honduras,2020,520427,505121,522077,530910,515875,450954,394116,342453,285262,226369,182007,141105,111101,84711,56234,37004,23952,12916,4895,1240,151,4948880
HUN,Hungary,2020,237052,229364,247724,249731,265562,323916,312996,325171,409741,388418,318463,263135,287562,288884,190751,135231,74196,36684,10818,2751,138,4598288
ISL,Iceland,2020,10481,11493,11981,10888,11349,13158,11850,12041,10982,10715,10271,10512,10180,8604,7024,4494,2809,1743,675,144,11,171405
IND,India,2020,61228414,61877169,66302628,66670855,64865811,62039339,58874888,53993918,46631243,40756605,35202663,30150272,24694672,19168129,11627908,7062999,3831463,1575584,437188,91981,17241,717100970
IDN,Indonesia,2020,12092736,12411280,11809874,12008052,11625762,10640126,9955229,10590213,9893522,9169094,8007935,6540189,5149357,3560471,2092055,1271922,629423,208338,55562,6347,374,137717861
IRN,Iran,2020,3913297,3566704,3185825,2829745,2801162,3382446,4211840,4120405,3270956,2608048,2321587,1826123,1559797,1128726,709933,471441,306847,162121,27495,3670,238,42408406
IRQ,Iraq,2020,2768066,2687416,2341048,2128810,1941425,1718989,1492575,1262099,1088847,890358,684409,430293,306318,282693,153582,106824,51696,18072,3751,467,40,20357778
IRL,Ireland,2020,161560,183869,182055,158874,146666,141198,154931,186925,192610,181919,155399,143132,122993,113389,95764,63883,39656,18940,6086,1378,122,2451349
ISR,Israel,2020,434626,422770,378840,342690,320121,293130,285404,278739,270334,245995,205483,183531,166086,165565,134423,77168,51897,32673,14093,4092,457,4308117
ITA,Italy,2020,1197289,1374731,1470174,1484455,1526577,1625230,1702976,1824273,2092329,2401070,2420466,2274884,1903045,1679600,1586760,1182323,958360,504059,186608,39461,3055,29437725
JAM,Jamaica,2020,117906,119381,115152,122344,133044,129067,117460,102582,84021,85311,82115,73155,57662,44233,34577,23427,15156,8305,3729,870,144,1469641
JPN,Japan,2020,2453834,2773482,2856888,2926787,3075580,3151556,3475526,3918085,4307199,5088697,4364792,3964557,3733454,4095950,4312462,3160764,2209841,1282793,495632,95394,9772,61753045
JOR,Jordan,2020,542518,588281,576779,525125,474134,434685,393062,363013,311307,276879,224092,161951,106011,72230,51930,35957,19675,6857,1354,131,8,5165979
KAZ,Kazakhstan,2020,990433,1001296,825240,572044,563709,740054,815061,666207,581180,533919,458683,485272,353476,247842,118757,73998,63831,16870,4742,308,17,9112939
KEN,Kenya,2020,3558343,3508267,3395310,3021861,2619202,2167181,1992648,1704425,1362401,1055166,782098,573691,410863,279481,161035,76404,36529,11823,1702,95,2,26718527
KIR,Kiribati,2020,7771,7479,6830,5190,5467,4844,4364,3591,2973,2336,2523,2162,1370,876,555,263,103,38,9,0,0,58744
KWT,Kuwait,2020,148199,170630,172936,124293,113361,148359,226455,326227,340377,289969,228008,144098,100286,48076,17995,9606,4417,1074,72,8,0,2614446
KGZ,Kyrgyzstan,2020,390192,394094,306383,254784,261997,288994,284861,222020,178983,157279,140916,132520,98499,61342,29818,10918,8885,3955,739,88,3,3227270
LAO,Lao People's Democratic Republic,2020,406336,392013,385184,359010,348860,336795,298072,247306,207919,178440,143371,118663,91761,64169,36347,21644,11155,3854,806,84,5,3651794
LVA,Latvia,2020,59441,48731,52557,43840,36159,61295,72749,61417,59619,64627,56624,66488,56716,47763,26833,27573,14438,8335,3372,680,79,869336
LBN,Lebanon,2020,289068,306544,293831,291371,294138,280101,239805,228624,224488,207157,213215,197629,134293,91717,62981,38670,26526,12290,2861,411,26,3435746
LSO,Lesotho,2020,127621,112635,105394,108485,102782,96776,90607,80767,63047,45385,34316,28707,22494,16281,11490,6428,2770,833,122,9,1,1056950
LBR,Liberia,2020,377951,346028,317302,280365,233827,189883,167817,148500,123141,99142,77752,60556,45575,32249,19973,13907,6407,1873,275,16,0,2542539
LBY,Libya,2020,320512,339627,319799,287880,275749,278771,292656,290091,287068,248084,189732,120203,78169,56579,36405,26512,14193,5350,1205,144,8,3468737
LTU,Lithuania,2020,74742,80143,61526,63046,68453,95967,96833,78184,80127,94174,88016,107707,81130,66247,38601,37180,28005,13723,5078,1015,90,1259987
LUX,Luxembourg,2020,17102,16733,15962,17685,20581,23626,24642,24662,24118,25299,25485,21983,17629,13719,10767,7049,5240,3155,1002,139,9,316587
MDG,Madagascar,2020,2078553,1845421,1675821,1509087,1334852,1107606,913174,770524,655981,530554,419777,328458,252005,181397,102248,59377,32248,13229,3620,623,64,13814619
MWI,Malawi,2020,1477013,1381621,1286629,1088019,913937,756656,629760,483574,392707,304464,226793,167435,123788,87563,61748,33798,14084,3889,528,30,1,9434037
MYS,Malaysia,2020,1356480,1291474,1258164,1376593,1473764,1493496,1512767,1435436,1106638,974175,840520,762367,617475,459299,314843,174510,109584,51235,16812,4322,859,16630813
MDV,Maldives,2020,18395,19317,16953,13523,36109,68578,60470,35546,23424,16850,10685,7451,5686,3304,2281,2065,1416,657,178,35,5,342928
MLI,Mali,2020,1833532,1604185,1402261,1140850,896033,715541,583496,493552,408466,321640,233285,165884,125808,98582,61113,39153,16105,4824,802,59,3,10145174
MLT,Malta,2020,11144,11118,10539,10509,12914,15744,17114,16845,16043,14529,12736,14170,14948,13637,13456,7866,4900,2301,736,156,15,221420
MTQ,Martinique,2020,9349,9076,11750,12337,12416,8764,7319,7243,7832,10698,13448,14496,13353,10735,8808,6097,4670,2808,1113,254,41,172607
MRT,Mauritania,2020,351305,313838,272378,238275,210838,188330,169259,144363,118009,93549,73309,56457,41923,28470,17482,10182,4894,1719,360,39,2,2334981
MUS,Mauritius,2020,32650,35076,41058,48180,47498,51611,44292,43654,50064,41592,42440,44276,36211,29369,19771,10218,5935,2625,776,165,19,627480
MYT,Mayotte,2020,18298,17950,17707,15011,12573,8951,7499,6880,7163,6246,4522,3399,2570,1997,1435,973,578,280,105,21,1,134159
MEX,Mexico,2020,5604781,5731706,5692822,5695013,5505161,5384130,4748412,4343789,4029738,3782769,3236044,2742491,2169271,1657202,1125991,774478,456066,248866,107034,30998,4724,63071486
FSM,Micronesia (Fed. States of),2020,6295,6073,6017,5910,6007,5594,4352,3427,3081,2672,2471,2351,1929,1360,642,192,78,24,5,0,0,58480
MNG,Mongolia,2020,190221,183200,142428,110273,114926,136454,154283,128521,109951,97755,79939,66435,42559,26406,14904,9692,4881,1754,397,56,4,1615039
MNE,Montenegro,2020,19125,19261,20639,20510,21474,22348,21820,23120,21204,19893,18804,20812,19271,17553,10610,6140,5068,2280,565,63,3,310563
MAR,Morocco,2020,1706330,1757751,1605973,1518513,1465622,1521676,1418440,1321046,1111753,975160,916000,903130,776036,580692,340255,230945,124233,37082,5860,377,13,18316887
MOZ,Mozambique,2020,2590850,2287928,2026294,1760244,1439343,1171134,959782,778716,601645,443976,329461,262860,199764,149652,99486,55335,24032,6737,935,58,3,15188235
MMR,Myanmar,2020,2276580,2271644,2432699,2540640,2366526,2170481,2011880,1925362,1801758,1628445,1407402,1132495,890618,642954,367993,208612,100973,35433,6911,738,46,26220190
NAM,Namibia,2020,168341,159147,140532,121792,120640,111871,96336,77504,63274,50791,37505,29565,21065,13670,9296,6113,3003,1020,203,15,0,1231683
NPL,Nepal,2020,1385708,1385863,1474130,1604814,1536298,1135023,776203,603766,605690,622553,579427,485413,382303,312559,209634,150684,69868,22860,5124,491,24,13348435
NLD,Netherlands,2020,440380,458893,481729,521581,522344,548471,545558,515170,503787,572540,639652,630637,562407,494644,464156,301906,192588,100680,33241,6310,471,8537145
NCL,New Caledonia,2020,10124,10995,11127,10894,11948,10399,10591,10492,9782,10614,9049,8265,6142,4951,3993,2530,1088,407,95,11,1,143498
NZL,New Zealand,2020,154692,161050,165337,154479,166357,178375,161465,141357,133195,148703,148794,152927,135788,116055,103116,69922,43416,23029,10011,1929,166,2370163
NIC,Nicaragua,2020,335511,338768,328582,311896,300937,294425,273325,246411,199140,157274,123835,105123,89687,65436,36235,28777,17719,8286,2736,641,105,3264849
NER,Niger,2020,2440373,2018657,1659445,1339887,1063033,830858,624978,453448,397511,333314,265844,249047,186382,145601,90932,47621,17819,4680,687,47,1,12170165
NGA,Nigeria,2020,17377466,15287661,13159355,11151483,9170281,7660610,6613972,5745353,4785766,3807418,2947899,2330368,1764536,1232451,816324,426433,153999,34068,3939,243,12,104469637
MKD,North Macedonia,2020,57665,59956,57982,62365,67055,78303,82946,84120,78860,73647,73135,68205,63228,55043,35600,23452,13767,5518,1167,113,4,1042131
NOR,Norway,2020,155382,160458,164803,164380,182417,192462,192415,187073,180065,194631,194595,171954,157465,137160,130988,84651,48827,27095,10620,2342,200,2739983
OMN,Oman,2020,231912,191623,165920,93682,200348,579658,668869,411483,284023,206492,124010,93580,56811,27596,11747,11957,7058,2567,727,146,21,3370230
PAK,Pakistan,2020,14509296,13226191,12154761,11443015,10741968,9820991,8597168,7144302,5922918,4905180,4176690,3485956,2666009,1821463,1372079,939571,494894,193109,48962,6911,573,113672007
PAN,Panama,2020,199050,196392,188589,181761,176589,165802,159313,151560,144232,133884,116515,97629,77685,58837,43175,30543,19680,11130,5213,1833,468,2159880
PNG,Papua New Guinea,2020,572643,538956,513244,476348,430132,367562,325449,298330,260275,217134,175123,138417,104725,72966,41927,21899,9395,2901,595,49,2,4568072
PRY,Paraguay,2020,358637,348935,345842,337038,346443,328301,303627,262782,208611,163653,146953,129886,111110,91006,62432,40523,24038,10018,3639,782,104,3624360
PER,Peru,2020,1449868,1309452,1325559,1181735,1208975,1361349,1372968,1309074,1180561,1047925,900044,757902,617118,501384,352748,243752,161173,71136,21842,3646,395,16378606
PHL,Philippines,2020,5450633,5846072,5578251,5407659,5191755,4807611,4166778,3644549,3297341,2883722,2538943,2075862,1614771,1137017,709616,381080,202363,75335,16873,2375,219,55028825
POL,Poland,2020,967319,973593,1011282,881682,995319,1263507,1470157,1646565,1502714,1291697,1110610,1128396,1280235,1094529,779602,399586,299133,165615,61846,13289,1207,18337883
PRT,Portugal,2020,206364,226686,250186,268459,269946,262895,273726,317603,369490,390119,354227,347025,312566,283965,252905,191058,138848,78522,24416,4648,380,4824034
PRI,Puerto Rico,2020,43553,80256,108185,98626,79018,74703,78418,84514,93794,94521,96170,90739,87461,69792,67547,49716,30854,17470,7533,2216,432,1355518
QAT,Qatar,2020,69262,69595,62926,58196,189302,406816,401068,263944,196921,165003,124535,79300,43352,21908,9057,2045,1029,530,257,59,30,2165135
KOR,South Korea,2020,974300,1158751,1174844,1289269,1683129,1870859,1733487,1974613,2015813,2186422,2168485,2082574,1855904,1287861,929821,664900,403886,160921,41739,7689,587,25665854
MDA,Moldova,2020,103954,114314,111388,104616,123090,167765,212169,180714,149505,126309,109905,129776,112051,93810,41172,26931,15512,7108,1678,177,9,1931953
REU,Réunion,2020,32894,34341,34591,36106,32613,26830,22715,22731,26509,28629,31613,28901,24040,19396,13101,8863,5369,2806,958,278,17,433301
ROU,Romania,2020,482783,496283,555265,511303,522529,562625,729163,613306,773368,762811,761724,505639,596075,548023,385519,232234,183530,93316,31959,5970,487,9353912
RUS,Russia,2020,4762826,4802236,4186103,3620950,3373933,4575841,6300711,5911074,5127944,4674805,3928987,4660894,4225282,3255893,1922538,937202,920439,318953,121860,11041,787,67640299
RWA,Rwanda,2020,949898,841150,774505,673347,586489,502608,484832,390344,292448,217295,175529,187841,123474,83119,44196,24567,9437,5665,575,109,3,6367431
LCA,Saint Lucia,2020,5485,5563,5646,6622,7919,8486,7001,6846,6309,6019,6003,5323,3993,3024,2317,1642,1194,607,299,99,25,90422
VCT,Saint Vincent and the Grenadines,2020,3904,4113,4223,4693,4743,4160,4027,3803,3782,3612,3485,3518,2757,1954,1345,902,669,418,95,13,2,56218
WSM,Samoa,2020,14025,12525,11771,10015,8774,7872,6200,5368,5082,5122,4733,3786,2966,1976,1222,742,362,120,38,4,0,102703
STP,Sao Tome and Principe,2020,16064,15492,14697,12631,9450,7563,7102,6343,5514,3766,3625,2541,2046,1239,808,423,268,80,20,3,0,109675
SAU,Saudi Arabia,2020,1510712,1510498,1340839,1128960,1228060,1663792,2020910,2209618,2293870,1861908,1284975,898452,532166,315257,151011,101580,50137,20619,6603,1254,87,20131308
SEN,Senegal,2020,1326412,1224809,1061953,890072,759440,640554,531253,437493,334461,260554,205176,159539,122156,93449,60476,38709,18190,5245,788,55,1,8170785
SRB,Serbia,2020,216711,225782,251690,264865,273103,295508,317848,301977,310901,301341,280329,266358,258692,271836,205013,110335,78599,38517,9414,806,26,4279651
SYC,Seychelles,2020,4097,4095,3809,3278,3269,3717,3872,4079,3994,3897,3469,3032,2397,1491,780,658,304,147,46,7,1,50439
SLE,Sierra Leone,2020,580904,534486,496964,438908,378242,328581,281481,236247,189857,150419,116214,87252,62380,43161,29315,16678,7283,2312,488,62,5,3981239
SGP,Singapore,2020,134065,113785,123017,136872,219320,238248,230476,237814,245431,259745,248653,259893,238777,189395,90151,44139,30745,15018,5434,1126,153,3062257
SVK,Slovakia,2020,145185,144632,144626,134736,149025,186908,209575,224432,235153,204892,172041,175581,169534,148913,98537,59653,32475,16433,5055,1032,61,2658479
SVN,Slovenia,2020,52033,56013,53854,47333,49861,55915,69516,78345,83470,77291,76940,75409,72831,68599,45362,34221,22778,11512,3381,534,32,1035230
SLB,Solomon Islands,2020,53119,47985,40669,36194,31786,26248,21129,18996,18015,15758,11469,8969,6754,4745,3395,2295,1101,490,124,19,2,349262
SOM,Somalia,2020,1423977,1202295,1065756,912641,768307,577039,430402,327158,273047,237055,195050,159138,130379,98720,65719,35444,15718,4917,1150,161,14,7924087
ZAF,South Africa,2020,2918993,2943352,2774621,2472380,2476821,2628636,2710031,2403602,1892772,1578214,1290806,1035566,804405,584956,359322,213173,95571,28462,4071,248,10,29216012
SSD,South Sudan,2020,864864,778668,698291,606589,534100,451174,371741,294345,245028,200529,162730,127112,95475,66705,52395,32169,14897,4974,1081,138,9,5603014
ESP,Spain,2020,1025667,1156707,1290642,1150896,1154966,1204153,1316047,1636394,2026517,2012530,1828634,1684404,1426256,1147930,1022777,805921,530580,378432,147935,28428,2522,22978338
LKA,Sri Lanka,2020,844332,856054,864563,830615,742888,674562,623281,681648,730689,659699,639901,589177,513111,405408,312254,164667,77654,38529,14650,3286,383,10267351
PSE,Palestine,2020,354510,343360,302555,262810,253198,237804,188136,149720,125552,101465,83644,64681,42801,30053,24082,13424,6604,2128,398,43,3,2586971
SDN,Sudan,2020,3215817,2934394,2696428,2428941,2101084,1747912,1393965,1172941,977606,826525,696757,547161,419497,313239,213087,126992,63403,23989,6354,1093,110,21907295
SUR,Suriname,2020,27047,27269,26727,26260,25223,23975,22065,19815,17579,18554,16536,15674,10532,6925,4908,2863,1761,798,256,50,5,294822
SWE,Sweden,2020,309240,304038,301140,276950,280047,374455,352981,320963,310337,331865,344973,312494,283735,260421,274804,206281,120133,63024,25178,5450,438,5058947
CHE,Switzerland,2020,231280,222436,209997,216791,246246,281460,301576,312034,287248,299517,341873,324282,270397,215755,201943,151943,98229,55737,20518,4076,310,4293648
SYR,Syria,2020,979588,875341,891639,803718,818343,766449,771492,686020,533147,405000,333827,286463,222416,166712,98402,63206,36042,17036,4583,606,35,8760065
