age	 suscept
2.450980392	0.017781719
7.516339869	0.017781719
12.58169935	0.017781719
17.48366013	0.01826781
22.54901961	0.022270941
27.45098039	0.02828467
32.51633987	0.036056645
37.58169935	0.042069826
42.48366013	0.046073505
47.54901961	0.049071611
52.45098039	0.053326546
57.51633987	0.060093496
62.58169935	0.067362959
67.64705882	0.070109808
72.7124183	0.070595351
77.45098039	0.070595351
