Entity,Code,Day,stringency_index
Afghanistan,AFG,21/01/2020,0
Afghanistan,AFG,22/01/2020,0
Afghanistan,AFG,23/01/2020,0
Afghanistan,AFG,24/01/2020,0
Afghanistan,AFG,25/01/2020,0
Afghanistan,AFG,26/01/2020,0
Afghanistan,AFG,27/01/2020,0
Afghanistan,AFG,28/01/2020,0
Afghanistan,AFG,29/01/2020,0
Afghanistan,AFG,30/01/2020,0
Afghanistan,AFG,31/01/2020,0
Afghanistan,AFG,1/02/2020,0
Afghanistan,AFG,2/02/2020,0
Afghanistan,AFG,3/02/2020,0
Afghanistan,AFG,4/02/2020,0
Afghanistan,AFG,5/02/2020,0
Afghanistan,AFG,6/02/2020,0
Afghanistan,AFG,7/02/2020,0
Afghanistan,AFG,8/02/2020,0
Afghanistan,AFG,9/02/2020,0
Afghanistan,AFG,10/02/2020,0
Afghanistan,AFG,11/02/2020,0
Afghanistan,AFG,12/02/2020,0
Afghanistan,AFG,13/02/2020,0
Afghanistan,AFG,14/02/2020,0
Afghanistan,AFG,15/02/2020,0
Afghanistan,AFG,16/02/2020,0
Afghanistan,AFG,17/02/2020,0
Afghanistan,AFG,18/02/2020,0
Afghanistan,AFG,19/02/2020,0
Afghanistan,AFG,20/02/2020,0
Afghanistan,AFG,21/02/2020,0
Afghanistan,AFG,22/02/2020,0
Afghanistan,AFG,23/02/2020,8.33
Afghanistan,AFG,24/02/2020,8.33
Afghanistan,AFG,25/02/2020,8.33
Afghanistan,AFG,26/02/2020,8.33
Afghanistan,AFG,27/02/2020,8.33
Afghanistan,AFG,28/02/2020,8.33
Afghanistan,AFG,29/02/2020,8.33
Afghanistan,AFG,1/03/2020,27.78
Afghanistan,AFG,2/03/2020,27.78
Afghanistan,AFG,3/03/2020,27.78
Afghanistan,AFG,4/03/2020,27.78
Afghanistan,AFG,5/03/2020,27.78
Afghanistan,AFG,6/03/2020,27.78
Afghanistan,AFG,7/03/2020,27.78
Afghanistan,AFG,8/03/2020,27.78
Afghanistan,AFG,9/03/2020,27.78
Afghanistan,AFG,10/03/2020,27.78
Afghanistan,AFG,11/03/2020,27.78
