country,R0,dose,Reff,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Ireland,2.3,0.2,1.7583237363040283,0.01286524334288109,0.0,0.11046371222848597,1.0,0.2719860244521187,0.021182043950557318,0.0,0.0
Ireland,2.3,0.2,1.7583823882491445,0.006911135520383507,0.0,0.11998265660116939,0.8055466773362933,0.46413682720182886,0.0,0.0,0.0
Ireland,2.3,0.2,1.7595703390279582,0.020440064975545097,0.0035823879836127948,0.1168979820790579,0.9251458976373494,0.3423268610343284,0.0,0.0,0.0
Ireland,2.3,0.2,1.759939789305685,0.0033097488769211272,0.0,0.27547594839340017,0.9796403329563081,0.17947323068619137,0.0,0.021442862678641143,0.0
Ireland,2.3,0.2,1.7612749693488554,0.020376233217489107,0.0,0.295383417630252,0.974290860177054,0.16803537209555935,0.0,0.0,0.0
Ireland,2.3,0.2,1.7618648508921448,0.007639821114990475,0.0,0.20573355201016857,0.6886951089725735,0.5063011442015648,0.0,0.0,0.0
Ireland,2.3,0.2,1.7631490853809733,0.0003377621933339483,0.005329030772889546,0.25543561877010884,0.9492636790905876,0.1633138220349517,0.08250385307487568,0.008332723990928992,0.0
Ireland,2.3,0.2,1.7639758598064632,0.014570833285971842,0.023923708215375226,0.289658940888838,0.8299217555538349,0.27736488256007674,0.013606934281749864,0.0,0.0
Ireland,2.3,0.2,1.7653555367682197,0.009792488702199618,0.0,0.2684633147561741,0.8562330314160534,0.284281237837666,0.0,0.0,0.03236296644571323
Ireland,2.3,0.2,1.76597142666385,0.028873223925672688,0.0,0.34517307610136855,0.8297186946755988,0.24857934986722646,0.008622242464510793,0.0,0.0
Ireland,2.3,0.2,1.766721744043073,0.0145607167531083,0.03820887046900602,0.3071600337213924,0.7585102364405382,0.32767586740298504,0.0,0.0,0.0
Ireland,2.3,0.2,1.766727943861286,0.004956502426295607,0.01299194856865773,0.46367511423983704,0.792990551858697,0.20983982877101093,0.0,0.0009575514337523787,0.0
Ireland,2.3,0.2,1.7675928389569502,0.05152653293698795,0.0,0.127332148111952,1.0,0.2302145939271079,0.015079624303428726,0.0,0.0
Ireland,2.3,0.2,1.7679521277737862,0.0036697214637046293,0.0,0.006571228722315178,0.9798058300225609,0.2570597815062774,0.17189224183971893,0.0,0.0
Ireland,2.3,0.2,1.7696836327375838,0.017424143784614956,0.08209880873467487,0.043539894868025425,0.9111391454886,0.3434868740818151,0.0,0.0,0.0
Ireland,2.3,0.2,1.7698231703334204,0.0018306228124786803,0.07108382280807055,0.23716418913802473,0.8376201887778779,0.23663566442542627,0.0677441667659892,0.0,0.0
Ireland,2.3,0.2,1.76994955201598,0.015980731864317838,0.0,0.05315375014926722,0.8125808848505068,0.45093278314380714,0.028963932721173837,0.03872996814938841,0.001997326575845365
Ireland,2.3,0.2,1.77009102321856,0.004989353963974765,0.04371260007409426,0.382907862000477,0.7030254686255368,0.31255596026591115,0.01652364222368648,0.0,0.0
Ireland,2.3,0.2,1.7704776933940751,0.008483120583495865,0.0,0.21567107183149442,0.778749879946348,0.2864507668806725,0.16461028978271391,0.0,0.0
Ireland,2.3,0.2,1.770827115379426,0.026611151113086387,0.0,0.23613616992535674,0.7770255915779284,0.35743109698268927,0.0,0.046078704342125604,0.0
Ireland,2.3,0.2,1.770945476902256,0.0033519983331478736,0.0,0.0498506879628835,0.6952015373134934,0.5418322746005696,0.08894598800195674,0.012942064084576543,0.0
Ireland,2.3,0.2,1.7711620869115237,0.042443702746140344,0.03131410093445089,0.11595833727249782,0.9702443536116324,0.22070612877984033,0.047661677788132434,0.0,0.0
Ireland,2.3,0.2,1.772243640363321,0.011054810800401665,0.024087644331346074,0.0,0.6667165455643732,0.6551590681436844,0.0,0.0,0.0
Ireland,2.3,0.2,1.7726419508401174,0.0040977419490917134,0.0,0.06913073998309172,0.5493965665288043,0.7379772107423422,0.0,0.0,0.0
Ireland,2.3,0.2,1.7727570767452516,0.05430195228535704,0.04555948266275692,0.10963861024421029,0.9765614436633568,0.23424864304949178,0.0,0.0,0.0
Ireland,2.3,0.2,1.7737608146979595,0.04786635063759789,0.04306257937905338,0.0,0.9651075610227469,0.32966779155965187,0.0,0.006948440649331172,0.0
Ireland,2.3,0.2,1.7738339830210754,0.005664843048508479,0.015310117507319119,0.2489258062528826,0.66646067532642,0.4421828863113193,0.00319890841463815,0.06046777380780011,0.0
Ireland,2.3,0.2,1.774148282598387,0.02564879479208802,0.04203050207714115,0.3032709049873381,0.908023241339831,0.12026698334064964,0.07729674826540302,0.0,0.0
Ireland,2.3,0.2,1.7757358754218444,0.0352533001365878,0.0,0.0,1.0,0.31744575248381357,0.0,0.0,0.05248469501550388
Ireland,2.3,0.2,1.7761715726772827,0.007769935668731995,0.0,0.0,1.0,0.1657331220289125,0.2661163338626145,0.0,0.0
