"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",1.81176470588235,0.835294117647059,0.317647058823529,0.435294117647059,0.576470588235294,0.623529411764706,1.24705882352941,0.835294117647059,0.470588235294118,0.423529411764706,0.4,0.270588235294118,0.258823529411765,0.2,0.211764705882353,0.141176470588235
"[5,10)",0.366666666666667,2.27777777777778,0.588888888888889,0.433333333333333,0.244444444444444,0.444444444444444,0.677777777777778,0.766666666666667,0.733333333333333,0.388888888888889,0.233333333333333,0.266666666666667,0.222222222222222,0.188888888888889,0.111111111111111,0.0444444444444444
"[10,15)",0.0909090909090909,0.345454545454545,3.58181818181818,0.927272727272727,0.254545454545455,0.245454545454545,0.336363636363636,0.654545454545455,0.972727272727273,0.436363636363636,0.372727272727273,0.154545454545455,0.190909090909091,0.190909090909091,0.136363636363636,0.1
"[15,20)",0.0416666666666667,0.183333333333333,0.7,4.225,1.3,0.366666666666667,0.225,0.6,0.691666666666667,0.683333333333333,0.391666666666667,0.266666666666667,0.116666666666667,0.15,0.0666666666666667,0.0666666666666667
"[20,25)",0.0769230769230769,0.0256410256410256,0.11965811965812,0.897435897435897,2.58974358974359,1.13675213675214,0.452991452991453,0.452991452991453,0.47008547008547,0.632478632478632,0.41025641025641,0.264957264957265,0.111111111111111,0.0769230769230769,0.0854700854700855,0.102564102564103
"[25,30)",0.273972602739726,0.178082191780822,0.164383561643836,0.287671232876712,1.45205479452055,1.79452054794521,1.0958904109589,0.780821917808219,0.602739726027397,0.794520547945205,0.602739726027397,0.602739726027397,0.506849315068493,0.232876712328767,0.136986301369863,0.10958904109589
"[30,35)",0.456140350877193,0.263157894736842,0.140350877192982,0.192982456140351,0.43859649122807,0.982456140350877,1.49122807017544,1.17543859649123,0.982456140350877,0.315789473684211,0.666666666666667,0.350877192982456,0.421052631578947,0.192982456140351,0.0701754385964912,0.140350877192982
"[35,40)",0.202898550724638,0.492753623188406,0.623188405797101,0.463768115942029,0.217391304347826,0.304347826086957,0.739130434782609,1.43478260869565,1.02898550724638,0.594202898550725,0.36231884057971,0.27536231884058,0.36231884057971,0.304347826086957,0.130434782608696,0.0869565217391304
"[40,45)",0.197674418604651,0.232558139534884,0.674418604651163,1.12790697674419,0.581395348837209,0.383720930232558,0.581395348837209,0.965116279069767,1.24418604651163,0.941860465116279,0.476744186046512,0.22093023255814,0.325581395348837,0.197674418604651,0.162790697674419,0.232558139534884
"[45,50)",0.0860215053763441,0.0752688172043011,0.333333333333333,1.2258064516129,0.451612903225806,0.580645161290323,0.580645161290323,0.709677419354839,1.02150537634409,1.24731182795699,0.806451612903226,0.419354838709677,0.279569892473118,0.150537634408602,0.10752688172043,0.139784946236559
"[50,55)",0.193181818181818,0.204545454545455,0.159090909090909,0.272727272727273,0.477272727272727,0.613636363636364,0.556818181818182,0.590909090909091,0.727272727272727,1.01136363636364,1.20454545454545,0.806818181818182,0.431818181818182,0.181818181818182,0.0340909090909091,0.227272727272727
"[55,60)",0.0675675675675676,0.108108108108108,0.0675675675675676,0.27027027027027,0.337837837837838,0.459459459459459,0.621621621621622,0.527027027027027,0.608108108108108,0.635135135135135,0.783783783783784,1.12162162162162,0.554054054054054,0.310810810810811,0.121621621621622,0.202702702702703
"[60,65)",0.0963855421686747,0.144578313253012,0.072289156626506,0.108433734939759,0.192771084337349,0.325301204819277,0.313253012048193,0.36144578313253,0.493975903614458,0.44578313253012,0.409638554216867,0.72289156626506,0.855421686746988,0.530120481927711,0.108433734939759,0.253012048192771
"[65,70)",0.0273972602739726,0.10958904109589,0.178082191780822,0.150684931506849,0.150684931506849,0.191780821917808,0.328767123287671,0.424657534246575,0.63013698630137,0.383561643835616,0.452054794520548,0.356164383561644,0.808219178082192,0.917808219178082,0.465753424657534,0.301369863013699
"[70,75)",0.032258064516129,0.161290322580645,0.032258064516129,0.161290322580645,0.0645161290322581,0.225806451612903,0.258064516129032,0.483870967741935,0.258064516129032,0.225806451612903,0.258064516129032,0.161290322580645,0.709677419354839,0.967741935483871,0.903225806451613,0.419354838709677
"75+",0.153846153846154,0.192307692307692,0.0769230769230769,0.115384615384615,0.0769230769230769,0.153846153846154,0.384615384615385,0.269230769230769,0.307692307692308,0.115384615384615,0.384615384615385,0.269230769230769,0.307692307692308,0.153846153846154,0.230769230769231,0.576923076923077
