country,R0,dose,Reff,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
United States of America,2.7000000000000033,0.2,2.5234207117325527,0.013380755347174955,0.004688983648371746,0.0,0.8952788222273886,0.5153962659133843,0.11121918715134527,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5247776397416786,0.016039392618637963,0.0,0.0,0.8115156381075801,0.6616507972710071,0.0,0.06801758168445704,0.0
United States of America,2.7000000000000033,0.2,2.5248344885947254,0.0008535258425489184,0.0,0.0,0.7358977155515578,0.5402846126113949,0.27292756833340204,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5251504063681134,0.03559692714851498,0.0,0.0,0.5450773838670929,0.8334929452928106,0.16165209339428688,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5257918579916496,0.0027672585688028103,0.0,0.048336294240678965,0.47249891096700436,0.9289161898291797,0.09353362627485359,0.0,0.035911073594131426
United States of America,2.7000000000000033,0.2,2.526252622680107,0.033910573525632155,0.0,0.0,0.9752784630953512,0.4689339835632601,0.018354386162820594,0.033005079068285925,0.008740895116013312
United States of America,2.7000000000000033,0.2,2.5262812570842805,0.0013294343124422398,0.0,0.1468867607584151,1.0,0.3645459057350863,0.0,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5263893492561618,0.027853691898389956,0.0,0.09439637109083313,0.44124616056960914,1.0,0.0,0.0,0.018397272176711783
United States of America,2.7000000000000033,0.2,2.526708890703345,0.006779619865584689,0.03840178095150542,0.10325107945180276,0.5750582024096067,0.8389699499382094,0.0,0.0,0.00022516426525599764
United States of America,2.7000000000000033,0.2,2.5269012325480436,0.008738735900523155,0.0,0.0,0.3734743294909788,0.8455462150350421,0.3574192727115358,0.0,0.0
United States of America,2.7000000000000033,0.2,2.527167019149929,0.02998979501188613,0.03500752448746132,0.01507582829542554,0.4828320628465559,0.9102167717979865,0.10777214177718031,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5272166737606745,0.027019494192992984,0.0,0.14759959955349214,0.6769890694982192,0.6960345274321824,0.0,0.0,0.0
United States of America,2.7000000000000033,0.2,2.527683711684239,0.0647368638868513,0.0,0.0,0.9406693795042376,0.4414391033140367,0.09020997470260411,0.0,0.0
United States of America,2.7000000000000033,0.2,2.5277186170964114,0.024211390091843015,0.0,0.02397542659323698,0.552723369321401,0.8514400384507286,0.05351938459756281,0.06230230720937137,0.01176778845589288
United States of America,2.7000000000000033,0.2,2.5279747448859613,0.005241312860933249,0.0,0.08558681233040125,0.6629425017979629,0.5478807187317546,0.2452200720256507,0.0,0.0
