country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Ecuador,2.7999999999999985,0.9183673469387756,0.790707126182877,0.24826303485092288,0.8795324985358253,1.0,1.0,1.0,1.0,1.0,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7917497038799333,0.34323748772744533,0.785531291032215,1.0,1.0,1.0,1.0,1.0,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7942640140640842,0.4466049278140372,0.8121509001834741,1.0,1.0,1.0,1.0,0.653044449326377,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7948301374159996,0.44457626503161307,0.762886156888339,1.0,1.0,0.9929399131598843,1.0,0.8230200445584758,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7948859721422016,0.3955789136427984,0.8198699700226807,1.0,1.0,1.0,1.0,0.7947791641991546,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7964034036064848,0.42612995859431735,0.777141039158453,1.0,1.0,1.0,1.0,0.8497342778756669,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7968132511877372,0.481393622830531,0.7066696033502247,1.0,1.0,1.0,1.0,0.8917292547881497,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7978143059666543,0.2714745083502579,0.8953578174391562,1.0,1.0,1.0,1.0,1.0,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7978456364064189,0.18372110644598383,1.0,1.0,1.0,1.0,1.0,0.9651765881355975,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7983164773015808,0.2758743356935182,0.967863893566142,1.0,1.0,1.0,1.0,0.7871827106288636,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.7984570085783474,0.3212178533076946,0.8473142474046286,0.981430751297482,1.0,1.0,1.0,1.0,0.06373264954747734
Ecuador,2.7999999999999985,0.9183673469387756,0.7984724439378187,0.20045072094662003,1.0,1.0,1.0,1.0,0.9761307912753041,0.9598470625042137,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.8002122327107615,0.3271692398559026,1.0,1.0,1.0,1.0,1.0,0.5713039370666841,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.800884257200614,0.33699853249136114,1.0,1.0,1.0,1.0,1.0,0.5525850921296812,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.8016150371034669,0.17571445179904935,1.0,1.0,1.0,1.0,1.0,1.0,0.0643091914137407
Ecuador,2.7999999999999985,0.9183673469387756,0.8019742685153315,0.429811160671043,0.7888696266978338,1.0,1.0,1.0,1.0,0.8954024576320374,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.8027368977426184,0.35624914673796104,0.9885706778616542,1.0,1.0,1.0,1.0,0.5573670605354571,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.8029426806819784,0.27799471958940225,0.9175365926322542,1.0,1.0,1.0,1.0,1.0,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.803419699082039,0.4903501012976972,0.9419509291603508,1.0,1.0,1.0,1.0,0.297898715095126,0.0
Ecuador,2.7999999999999985,0.9183673469387756,0.8064613753861418,0.42859394211066804,0.8737905125021133,1.0,1.0,1.0,1.0,0.5069667403044874,0.28253611221928165
