"country","R0","HIT","optimum","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70+"
"Afghanistan",2.4,0.847089980382759,0.776782423966826,0.627594906880752,0.703090553752369,1,1,1,1,0,0
"Albania",1.8,0.660592229862847,0.435151758757041,0,0,0.700591152216264,1,1,0.537005540436273,0,0
"Algeria",2.5,0.877164258058186,0.784299916570945,0.660666365453812,0.728065422160591,1,1,1,1,0,0
"Angola",1.41,0.423465058074792,0.172114956011215,0,0,0,0.722899808926854,1,0.388848222173435,0,0
"Antigua and Barbuda",1.43,0.432123142700091,0.235184082010452,0,0,0.600047454217774,1,0,0,0,0
"Argentina",2.5,0.880671448056816,0.697091592048895,0.352117534129463,0.741501819631323,1,1,1,1,0,0
"Armenia",1.9,0.707875462626385,0.498334187738747,0.0111962341462455,0.250102838407309,0.631211277541869,1,1,0.729519084084336,0,0
"Australia",2.3,0.820463259494321,0.532955635408106,0,0.45991214417897,1,1,1,0.563336807056173,0,0
"Austria",2.2,0.799036250977894,0.503241005594059,0,0.206350181117544,1,1,1,0.576949811909873,0,0.00215678000276979
"Azerbaijan",2.3,0.822965780997694,0.602608864904132,0,0.314780579615309,0.845880784794424,1,1,1,0,0
"Bahamas",3.14,0.998640999263071,0.974542580856707,1,1,1,1,1,1,1,0.462521251838192
"Bahrain",2,0.722809457727079,0.574632603827623,0,0,0.695637231939277,1,1,0,0,0
"Bangladesh",2.4,0.850913188917354,0.674776908844437,0,0.625764155563796,1,1,1,1,0,0
"Barbados",1.83,0.674300000101179,0.418011492817543,0,0,0.661362265162663,1,1,0.477782189057185,0,0
"Belarus",2.3,0.83112545079124,0.564630434927272,0,0.399510860204063,1,1,1,0.795609704358609,0,0
"Belgium",2.1,0.816428943537865,0.54706539850075,0,0,1,1,1,1,0.243099299141431,0
"Belize",2.69,0.913122393572655,0.788180435225141,0.530062174781121,0.779628215943502,1,1,1,1,0,0
"Benin",2.6,0.897763048055252,0.745637232879209,0.458700553237332,0.676268150082333,1,1,1,1,1,0
"Bhutan",1.4,0.416677242853036,0.253323882911527,0,0,0,0.532628825776353,0.905479874716256,0.685729336421245,0,0
"Bolivia",2.5,0.876685346807985,0.684199373730046,0.250415335554776,0.716352371447479,0.974514916551438,1,1,1,0,0
"Bosnia and Herzegovina",2,0.757413635179638,0.556587942066004,0.228199744273305,0.505095783146062,1,1,1,0.548595759011648,0,0
"Botswana",1.82,0.657146579272516,0.406504543620038,0,0,0.454795414240359,1,1,1,0,0
"Brazil",2.4,0.853636890043569,0.673394920964739,0.144145383712887,0.528892015047911,1,1,1,1,0,0
"Brunei Darussalam",1.838512065,0.660898020103576,0.468821683933206,0,0.125886667190474,0.750937053844207,1,1,0,0,0
