country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
United Kingdom,2.3000000000000016,0.8074534161490688,0.579127595944287,0.8885652343840511,1.0,0.7740937725459949,1.0,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.580970862504108,0.8442510951308982,1.0,0.8303636528909157,1.0,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5813390939969127,0.963884839250998,1.0,0.8277401953329557,0.9015721349366316,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5816140135584419,0.816834879208726,1.0,0.917364209310344,1.0,0.9441655363148181,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5817110606768664,1.0,1.0,0.6898513282384827,1.0,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5834819099020736,0.9759773175530165,1.0,0.9089985308722957,0.8319357737265803,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.584667758935529,1.0,1.0,0.9106739949290562,0.7990163417288167,1.0,0.0,0.0,0.01927648049702878
United Kingdom,2.3000000000000016,0.8074534161490688,0.5852957146973662,0.825177994997869,1.0,0.8825937407832372,1.0,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5865811658154467,0.8379377611774078,1.0,1.0,1.0,0.8814281560877731,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5868195184009035,1.0,1.0,0.7303706241423862,1.0,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5869987357123696,1.0,1.0,0.8054079360917219,1.0,0.8851524903339908,0.03903876888093716,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5873496145210806,0.9648551257948075,1.0,1.0,0.9031359018983713,0.8734775093833338,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5874844080681259,0.731197449476471,1.0,1.0,1.0,0.9883453708410559,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5891947250299475,1.0,1.0,1.0,0.7362660746888099,0.9432788782094389,0.0,0.10883006223892887,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5904980244872062,1.0,1.0,1.0,0.7421454209698068,1.0,0.03693312755061662,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5907079590855009,1.0,1.0,0.6165923865668337,1.0,1.0,0.09526759948353825,0.04993034763622123,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5907632051845114,1.0,1.0,0.8922746534326408,0.8797240316918012,1.0,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5908379951666297,1.0,1.0,1.0,0.7685040531900815,1.0,0.0,0.0,0.012593117537142776
United Kingdom,2.3000000000000016,0.8074534161490688,0.5929244647886286,1.0,1.0,1.0,1.0,0.7799647625736047,0.0,0.0,0.0
United Kingdom,2.3000000000000016,0.8074534161490688,0.5941142730862495,0.8655661557510714,0.9043406879715352,1.0,1.0,1.0,0.0,0.0,0.0
