country,R0,dose,Reff,0-9,Oct-19,20-29,30-39,40-49,50-59,60-69,70+
China,2.6,0.2,2.316374873,0.012610298,0.148346025,0,0,0.072309212,0.087045963,0.938855423,0.8524887
China,2.6,0.2,2.316556491,0.089083493,0,0.04466975,0.049843271,0,0.157602667,0.997622217,0.679471501
China,2.6,0.2,2.317789024,0.059828248,0.073038095,0,0.022883062,0.126554244,0.035805705,1,0.746897358
China,2.6,0.2,2.318469931,0.028764577,0.038620264,0,0,0,0.35420412,1,0.470462434
China,2.6,0.2,2.318998874,0.035771004,0.012862709,0,0,0.284474701,0,0.918504316,0.803512392
China,2.6,0.2,2.320454295,0.00668276,0.097602701,0,0,0.003068247,0.299206489,0.693693183,1
China,2.6,0.2,2.325099028,0.22133191,0.011173021,0,0.095843732,0,4.54E-05,1,0.760588038
China,2.6,0.4,2.147628335,0.027215772,0,0,0.084333128,0.369366692,1,1,1
China,2.6,0.4,2.151214395,0.010462345,0,0,0.465394491,0.003798889,1,1,0.945616832
China,2.6,0.4,2.152991681,0.003263467,0.025122294,0.025284047,0.142248986,0.33518004,0.976023481,1,0.945813113
China,2.6,0.4,2.157937681,0.084533227,0,0.00300978,0.163987028,0.36878588,0.889243327,0.974729429,1
China,2.6,0.4,2.159267482,0.034545508,0.107866096,0.090378535,0.111889231,0.176736714,0.997158515,1,1
China,2.6,0.4,2.159812483,0.036471352,0,0,0.106081726,0.431103493,0.992761097,1,0.81358081
China,2.6,0.4,2.160235237,0.203596193,0.018036233,0,0.271685597,0.017792625,1,1,1
China,2.6,0.4,2.160442857,0.048894853,0,0.134569899,0.002759146,0.362484413,1,1,0.913760116
China,2.6,0.4,2.161967744,0.137283987,0.056124657,0.028489969,0.293421828,0.007543472,1,0.979809657,1
China,2.6,0.4,2.162306045,0.023850689,0.141441534,0.116863272,0.058351318,0.194544423,1,1,0.990818415
China,2.6,0.4,2.162436195,0.009727264,0.057591312,0.178016961,0.17118756,0.174325307,0.929123003,0.989806906,1
China,2.6,0.4,2.163483371,0.053885633,0.089831863,0,0.197411766,0.400235116,0.765669411,1,1
China,2.6,0.4,2.163578004,0.174729568,0.024250856,0,0.165924305,0.20823799,0.973945942,1,0.925839911
China,2.6,0.4,2.163582199,0.105006212,0,0.011863723,0.415381241,0.103066709,0.884494737,0.947169184,1
China,2.6,0.4,2.164311373,0.1194677,0,0.028944185,0.300763583,0.298644435,0.75090535,1,1
