country,R0,HIT,optimum,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
El Salvador,1.9000000000000012,0.6766917293233082,0.48721905584085645,0.0,0.024203483948398774,1.0,1.0,1.0,0.5432168671642177,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.48808475921408245,0.0,0.255341263584816,0.575477134644402,1.0,1.0,0.987334291633178,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4882478369439105,0.0,0.06905235181593389,0.8535781237865505,1.0,0.933690319969203,0.7075256435813838,0.21450786965875224,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.48863398972044547,0.02550002224488905,0.19677901545133383,0.7773903140508138,0.986646243221692,1.0,0.6076274547926124,0.0,0.0654277955703082
El Salvador,1.9000000000000012,0.6766917293233082,0.48893420080004596,0.0,0.1284921093946526,1.0,1.0,0.9764946926319179,0.3787785880781859,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4898166339243132,0.0,0.26888463428384246,0.6884580002012862,1.0,0.79436493090332,1.0,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49011664527215604,0.0,0.1652654201936961,0.8961324585384524,1.0,0.6903954506251988,0.9043195655326542,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49185965379280977,0.0,0.15076311531606978,1.0,1.0,1.0,0.3364710941122679,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49230696524735074,0.0,0.1477358991787151,0.7620495839804317,1.0,0.993008232191998,0.5796591334918203,0.400338544013523,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49351414234707575,0.0037268473443589313,0.2792770568458296,0.6256080958023138,1.0,1.0,0.8853879034852604,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4936850413736394,0.0,0.18660478241188538,1.0,1.0,0.7423660406951976,0.6126267074277219,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.494192540905935,0.0,0.02540761622937035,1.0,1.0,1.0,0.6203685272461423,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49594730968171635,0.0,0.0,0.8563472175882648,1.0,1.0,1.0,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.49685475563480314,0.0,0.0,1.0,1.0,1.0,0.7029082858537327,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4970811890473262,0.0,0.21511549370579508,1.0,1.0,1.0,0.2640231859422244,0.0,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4973690280831271,0.0,0.12320817679347618,0.7384186686025804,1.0,1.0,0.8193932221005616,0.27457636503347443,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4976143117021376,0.0,0.0,0.8138306581786142,1.0,0.9408395077139657,1.0,0.25942784578539446,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4989683251652557,0.0,0.0,1.0,0.9861943295415042,1.0,0.6707728013126365,0.10865717873538396,0.0
El Salvador,1.9000000000000012,0.6766917293233082,0.4999245112396911,0.0,0.0,0.9601033323363529,1.0,1.0,0.6990636686580313,0.0,0.18787619284166227
El Salvador,1.9000000000000012,0.6766917293233082,0.5038612947052216,0.0,0.0,1.0,0.919088417200468,0.9451958225532591,0.8889882861855061,0.12522830312748734,0.0
