country,R0,dose,Reff,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
Trinidad and Tobago,1.8900000000000001,0.2,1.4447546366735824,0.010306556825693628,0.0,0.0,0.9110232115789687,0.2964090277977877,0.0,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4454684010308183,0.0015588802728368743,0.0,0.04008138689364075,0.8274549902013313,0.3555808830348977,0.018542157779715303,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4470077687220386,0.0006935444140988731,0.0,0.08403381312722892,1.0,0.09859356629615701,0.0,0.01954456558098673,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4473932669257965,0.006940856673348396,0.0,0.0,1.0,0.13504834399959012,0.051935190744845365,0.0,0.008033560578394217
Trinidad and Tobago,1.8900000000000001,0.2,1.4474336690068803,0.011519713346890413,0.0,0.044644710499942175,1.0,0.11136407621811564,0.02672190539534737,0.005478975082407031,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4489191209231511,0.03336504808666975,0.0,0.0,0.9929365345158246,0.170278328717408,0.0,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4490421400246924,0.03328483752859884,0.0,0.0,0.9397247764084038,0.23785940133142713,0.0,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4505764224172966,0.007066232581613249,0.016937944110545094,0.13977955336540904,0.8084266963992268,0.2796269010965163,0.0,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4519373459340064,0.013356918579657455,0.0,0.13867429376537443,0.6808252979453493,0.4529357049085735,0.0,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4527701917127775,0.005190738491060306,0.0,0.18360671464487635,0.900024719349078,0.056510884997756895,0.09105863573800539,0.0,0.0
Trinidad and Tobago,1.8900000000000001,0.2,1.4528449323785355,0.024639555899223772,0.02744366069847043,0.030578256835371836,0.9718427554407467,0.14957802934553333,0.0,0.0,0.0
